State,HeartRate,HeartRateAvg,HeartRateMax
title,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,62.5,0,0
active,75,0,0
active,75,0,0
active,75,0,0
active,75,0,0
active,75,0,0
active,75,0,0
active,75,0,0
active,75,0,0
active,75,0,0
active,75,0,0
active,75,0,0
active,75,0,0
active,75,0,0
active,75,0,0
active,75,0,0
active,75,0,0
active,75,0,0
active,75,0,0
active,75,0,0
active,75,0,0
active,75,0,0
active,75,0,0
active,75,0,0
active,75,0,0
active,75,0,0
active,75,0,0
active,75,0,0
active,75,0,0
active,75,0,0
active,75,0,0
active,75,0,0
active,75,0,0
active,75,0,0
active,75,0,0
active,75,0,0
active,75,0,0
active,88.24,0,0
active,88.24,0,0
active,88.24,0,0
active,88.24,0,0
active,88.24,0,0
active,88.24,0,0
active,88.24,0,0
active,88.24,0,0
active,88.24,0,0
active,88.24,0,0
active,88.24,0,0
active,100,0,0
active,100,0,0
active,107.14,0,0
active,107.14,0,0
active,107.14,0,0
active,107.14,0,0
active,107.14,0,0
active,107.14,0,0
active,107.14,0,0
active,107.14,0,0
active,107.14,0,0
active,107.14,0,0
active,107.14,0,0
active,107.14,0,0
active,107.14,0,0
active,107.14,0,0
active,107.14,0,0
active,107.14,0,0
active,107.14,0,0
active,107.14,0,0
active,88.24,0,0
active,88.24,0,0
active,88.24,0,0
active,88.24,0,0
active,88.24,0,0
