State,HeartRate,HeartRateAvg,HeartRateMax
title,65.22,58.66,58.66
bikuri1,49.48,55.58,58.66
bikuri2,31.01,47.12,58.66
active,65.22,58.66,58.66
active,65.22,58.66,58.66
active,65.22,58.66,58.66
active,65.22,58.66,58.66
active,65.22,58.66,58.66
active,65.22,58.66,58.66
active,65.22,58.66,58.66
active,65.22,58.66,58.66
active,65.22,58.66,58.66
active,65.22,58.66,58.66
active,65.22,58.66,58.66
active,65.22,58.66,58.66
active,65.22,58.66,58.66
active,65.22,58.66,58.66
active,65.22,58.66,58.66
active,65.22,58.66,58.66
active,65.22,58.66,58.66
active,68.18,58.66,58.66
active,83.33,58.66,58.66
active,83.33,58.66,58.66
active,83.33,58.66,58.66
active,83.33,58.66,58.66
active,83.33,58.66,58.66
active,83.33,58.66,58.66
active,83.33,58.66,58.66
active,83.33,58.66,58.66
active,83.33,58.66,58.66
active,83.33,58.66,58.66
active,83.33,58.66,58.66
active,83.33,58.66,58.66
active,83.33,58.66,58.66
active,83.33,58.66,58.66
active,83.33,58.66,58.66
active,83.33,58.66,58.66
active,83.33,58.66,58.66
active,83.33,58.66,58.66
active,83.33,58.66,58.66
active,83.33,58.66,58.66
active,83.33,58.66,58.66
active,83.33,58.66,58.66
active,83.33,58.66,58.66
active,83.33,58.66,58.66
active,83.33,58.66,58.66
active,83.33,58.66,58.66
active,83.33,58.66,58.66
active,83.33,58.66,58.66
active,83.33,58.66,58.66
active,83.33,58.66,58.66
active,83.33,58.66,58.66
active,83.33,58.66,58.66
active,83.33,58.66,58.66
active,83.33,58.66,58.66
active,83.33,58.66,58.66
active,83.33,58.66,58.66
active,83.33,58.66,58.66
active,83.33,58.66,58.66
active,83.33,58.66,58.66
active,83.33,58.66,58.66
active,83.33,58.66,58.66
active,83.33,58.66,58.66
active,83.33,58.66,58.66
active,83.33,58.66,58.66
active,83.33,58.66,58.66
active,83.33,58.66,58.66
active,83.33,58.66,58.66
active,83.33,58.66,58.66
active,83.33,58.66,58.66
active,83.33,58.66,58.66
active,83.33,58.66,58.66
active,83.33,58.66,58.66
active,83.33,58.66,58.66
active,83.33,58.66,58.66
active,83.33,58.66,58.66
active,49.93,58.64,58.66
active,49.93,58.57,58.66
active,49.93,58.5,58.66
active,49.93,58.43,58.66
active,49.93,58.36,58.66
active,49.93,58.29,58.66
active,49.93,58.22,58.66
active,49.93,58.15,58.66
active,49.93,58.08,58.66
active,49.93,58.01,58.66
active,49.93,57.94,58.66
active,49.93,57.87,58.66
active,49.93,57.8,58.66
active,49.93,57.73,58.66
active,49.93,57.66,58.66
active,49.93,57.59,58.66
active,49.93,57.52,58.66
active,49.93,57.45,58.66
active,49.93,57.38,58.66
active,49.93,57.31,58.66
active,49.93,57.26,58.66
active,49.93,57.19,58.66
active,49.93,57.12,58.66
active,49.93,57.05,58.66
active,49.93,56.98,58.66
active,49.93,56.91,58.66
active,49.93,56.84,58.66
active,49.64,56.77,58.66
active,49.64,56.7,58.66
active,49.64,56.63,58.66
active,49.64,56.56,58.66
active,49.64,56.48,58.66
active,49.64,56.41,58.66
active,49.64,56.34,58.66
active,49.64,56.27,58.66
active,49.64,56.19,58.66
active,49.48,56.12,58.66
active,49.48,56.07,58.66
active,49.48,56,58.66
active,49.48,55.94,58.66
active,49.48,55.87,58.66
active,49.48,55.8,58.66
active,49.48,55.73,58.66
active,49.48,55.65,58.66
active,49.48,55.58,58.66
active,49.48,55.51,58.66
active,49.08,55.44,58.66
active,49.08,55.37,58.66
active,49.08,55.29,58.66
active,49.08,55.22,58.66
active,49.08,55.15,58.66
active,49.08,55.08,58.66
active,49.08,55,58.66
active,49.08,54.93,58.66
active,49.08,54.86,58.66
active,48.86,54.79,58.66
active,48.86,54.72,58.66
active,48.86,54.64,58.66
active,48.86,54.59,58.66
active,48.86,54.54,58.66
active,48.86,54.48,58.66
active,48.86,54.41,58.66
active,48.86,54.36,58.66
active,48.86,54.3,58.66
active,47.83,54.23,58.66
active,47.83,54.16,58.66
active,47.83,54.09,58.66
active,47.83,54.01,58.66
active,47.83,53.94,58.66
active,47.83,53.87,58.66
active,47.83,53.8,58.66
active,47.83,53.72,58.66
active,47.83,53.67,58.66
active,47,53.58,58.66
active,47,53.49,58.66
active,47,53.42,58.66
active,47,53.33,58.66
active,47,53.23,58.66
active,47,53.14,58.66
active,47,53.05,58.66
active,47,52.95,58.66
active,47,52.86,58.66
active,46.42,52.76,58.66
active,46.42,52.67,58.66
active,46.42,52.57,58.66
active,46.42,52.47,58.66
active,46.42,52.37,58.66
active,46.42,52.27,58.66
active,46.42,52.18,58.66
active,46.42,52.08,58.66
active,46.42,51.98,58.66
active,37.61,51.83,58.66
active,37.61,51.66,58.66
active,37.61,51.49,58.66
active,37.61,51.32,58.66
active,37.61,51.16,58.66
active,37.61,50.99,58.66
active,37.61,50.82,58.66
active,37.61,50.65,58.66
active,37.61,50.48,58.66
active,33.21,50.29,58.66
active,33.21,50.08,58.66
active,33.21,49.88,58.66
active,33.21,49.68,58.66
active,33.21,49.47,58.66
active,33.21,49.27,58.66
active,33.21,49.07,58.66
active,33.21,48.86,58.66
active,33.21,48.66,58.66
active,31.01,48.44,58.66
active,31.01,48.22,58.66
active,31.01,48,58.66
active,31.01,47.78,58.66
active,31.01,47.56,58.66
active,31.01,47.34,58.66
active,31.01,47.12,58.66
active,31.01,46.89,58.66
active,31.01,46.67,58.66
active,49.83,46.62,58.66
active,49.83,46.55,58.66
active,49.83,46.5,58.66
active,49.83,46.43,58.66
active,49.83,46.36,58.66
active,49.83,46.28,58.66
active,49.83,46.21,58.66
active,49.83,46.14,58.66
active,49.83,46.07,58.66
active,59.85,46,58.66
active,59.85,45.95,49.93
active,59.85,45.95,49.93
active,59.85,45.95,49.93
active,59.85,45.95,49.93
active,59.85,45.95,49.93
active,59.85,45.94,49.93
active,59.85,45.94,49.93
active,59.85,45.94,49.93
active,64.86,45.94,49.93
active,64.86,45.94,49.93
active,64.86,45.94,49.93
active,64.86,45.94,49.93
active,64.86,45.94,49.93
active,64.86,45.94,49.93
active,64.86,45.94,49.93
active,64.86,45.94,49.93
active,64.86,45.94,49.93
active,67.36,45.93,49.93
active,67.36,45.93,49.93
active,67.36,45.93,49.93
active,67.36,45.93,49.93
active,67.36,45.93,49.93
active,67.36,45.93,49.93
active,67.36,45.93,49.93
active,67.36,45.93,49.93
active,67.36,45.93,49.93
active,61.83,45.93,49.93
active,61.83,45.93,49.83
active,61.83,45.93,49.83
active,61.83,45.93,49.83
active,61.83,45.93,49.83
active,61.83,45.93,49.83
active,61.83,45.94,49.83
