State,HeartRate,HeartRateAvg,HeartRateMax,Time,Memo
active,62.3,62.3,62.3,0m:8s,title
active,62.3,62.3,62.3,0m:8s,bikkuri
active,62.3,62.3,62.3,0m:13s,bikkuri
active,62.3,62.3,62.3,0m:18s,bikkuri
active,62.3,62.3,62.3,0m:22s,bikkuri
active,62.3,62.3,62.3,0m:27s,kotei_bikkuri_1
active,62.3,62.3,62.3,0m:32s,bikkuri
active,92.3,62.3,62.3,0m:37s,sinpaku
active,62.3,62.3,62.3,0m:42s,bikkuri
active,62.3,62.3,62.3,0m:46s,bikkuri
active,62.3,62.3,62.3,0m:52s,bikkuri
active,62.3,62.3,62.3,0m:57s,kotei_bikkuri_2
