State,HeartRate,HeartRateAvg,HeartRateMax
title,62.3,62.3,62.3,0m:27s
bikuri1,92.3,62.3,62.3,0m:37s
bikuri2,62.3,62.3,62.3,0m:57s
active,62.3,62.3,62.3,0m:8s
active,62.3,62.3,62.3,0m:13s
active,62.3,62.3,62.3,0m:18s
active,62.3,62.3,62.3,0m:22s
active,62.3,62.3,62.3,0m:27s
active,62.3,62.3,62.3,0m:8s
active,62.3,62.3,62.3,0m:13s
active,62.3,62.3,62.3,0m:18s
active,62.3,62.3,62.3,0m:22s
active,62.3,62.3,62.3,0m:27s
active,62.3,62.3,62.3,0m:32s
active,92.3,62.3,62.3,0m:37s
active,62.3,62.3,62.3,0m:42s
active,62.3,62.3,62.3,0m:46s
active,62.3,62.3,62.3,0m:52s
active,62.3,62.3,62.3,0m:57s
