State,HeartRate,HeartRateAvg,HeartRateMax
title,84.93,89.38,91.2
active,71.43,91.2,91.2
active,71.43,91.2,91.2
active,71.43,91.2,91.2
active,71.43,91.2,91.2
active,71.43,91.2,91.2
active,78.95,91.2,91.2
active,78.95,91.2,91.2
active,78.95,91.2,91.2
active,78.95,91.2,91.2
active,78.95,91.2,91.2
active,78.95,91.2,91.2
active,93.75,91.2,91.2
active,93.75,91.2,91.2
active,93.75,91.2,91.2
active,93.75,91.2,91.2
active,93.75,91.2,91.2
active,93.75,91.2,91.2
active,93.75,91.2,91.2
active,93.75,91.2,91.2
active,93.75,91.2,91.2
active,93.75,91.2,91.2
active,93.75,91.2,91.2
active,93.75,91.2,91.2
active,100,91.2,91.2
active,100,91.2,91.2
active,100,91.2,91.2
active,100,91.2,91.2
active,100,91.2,91.2
active,100,91.2,91.2
active,100,91.2,91.2
active,100,91.2,91.2
active,100,91.2,91.2
active,100,91.2,91.2
active,100,91.2,91.2
active,100,91.2,91.2
active,100,91.2,91.2
active,100,91.2,91.2
active,100,91.2,91.2
active,100,91.2,91.2
active,100,91.2,91.2
active,100,91.2,91.2
active,100,91.2,91.2
active,100,91.2,91.2
active,100,91.2,91.2
active,100,91.2,91.2
active,100,91.2,91.2
active,100,91.2,91.2
active,100,91.2,91.2
active,100,91.2,91.2
active,100,91.2,91.2
active,100,91.2,91.2
active,100,91.2,91.2
active,100,91.2,91.2
active,100,91.2,91.2
active,93.75,91.2,91.2
active,93.75,91.2,91.2
active,93.75,91.2,91.2
active,93.75,91.2,91.2
active,88.24,91.2,91.2
active,88.24,91.2,91.2
active,88.24,91.2,91.2
active,88.24,91.2,91.2
active,88.24,91.2,91.2
active,88.24,91.2,91.2
active,88.24,91.2,91.2
active,88.24,91.2,91.2
active,88.24,91.2,91.2
active,88.24,91.2,91.2
active,88.24,91.2,91.2
active,88.24,91.2,91.2
active,88.24,91.2,91.2
active,88.24,91.2,91.2
active,88.24,91.2,91.2
active,88.24,91.2,91.2
active,88.24,91.2,91.2
active,88.24,91.2,91.2
active,88.24,91.2,91.2
active,88.24,91.2,91.2
active,88.24,91.2,91.2
active,88.24,91.2,91.2
active,88.24,91.2,91.2
